,all activity on Bitcoin,all activity on Bitcoin before fork,all activity on Bitcoin after fork,common devs activity on Bitcoin before fork,common devs activity on Bitcoin after fork,common devs activity on Bitcoin-ABC,all activity on Bitcoin-ABC,all activity on Bitcoin before fork (% of all activity over all time),all activity on Bitcoin after fork (% of all activity over all time),common devs activity on Bitcoin before fork (% of all activity before fork),common devs activity on Bitcoin after fork (% of all activity after fork),common devs activity on Bitcoin-ABC (% of all activity)
added_to_project,508,36,472,36,356,0,0,0.07086614173228346,0.9291338582677166,1.0,0.7542372881355932,
assigned,480,218,262,210,222,16,16,0.45416666666666666,0.5458333333333333,0.963302752293578,0.8473282442748091,1.0
base_ref_changed,12,0,12,0,5,0,0,0.0,1.0,,0.4166666666666667,
base_ref_deleted,1,0,1,0,0,0,0,0.0,1.0,,0.0,
closed,18319,6074,12245,5035,9847,329,478,0.3315683170478738,0.6684316829521262,0.8289430358906816,0.8041649652919559,0.6882845188284519
comment_deleted,936,12,924,0,0,0,14,0.01282051282051282,0.9871794871794872,0.0,0.0,0.0
commented,236362,79408,156954,44684,66778,2042,3440,0.3359592489486466,0.6640407510513534,0.5627140842232521,0.4254622373434255,0.5936046511627907
committed,63932,22839,41093,8766,15621,354,1172,0.35723894137521117,0.6427610586247888,0.38381715486667545,0.38013773635412357,0.30204778156996587
connected,47,0,47,0,45,0,0,0.0,1.0,,0.9574468085106383,
convert_to_draft,270,0,270,0,82,0,0,0.0,1.0,,0.3037037037037037,
demilestoned,355,93,262,93,257,0,0,0.2619718309859155,0.7380281690140845,1.0,0.9809160305343512,
disconnected,2,0,2,0,2,0,0,0.0,1.0,,1.0,
head_ref_deleted,5584,1185,4399,674,2455,14,87,0.2122134670487106,0.7877865329512894,0.5687763713080168,0.5580813821323029,0.16091954022988506
head_ref_force_pushed,24857,4160,20697,2204,6948,22,68,0.1673572836625498,0.8326427163374502,0.5298076923076923,0.3357008262066966,0.3235294117647059
head_ref_restored,99,25,74,5,29,0,0,0.25252525252525254,0.7474747474747475,0.2,0.3918918918918919,
labeled,27927,4920,23007,4910,13280,85,193,0.17617359544526803,0.823826404554732,0.9979674796747967,0.5772156300256444,0.44041450777202074
locked,13878,13,13865,0,0,0,1,0.0009367343997694192,0.9990632656002306,0.0,0.0,0.0
marked_as_duplicate,7,1,6,1,6,3,3,0.14285714285714285,0.8571428571428571,1.0,1.0,1.0
mentioned,29275,9721,19554,5577,7993,214,328,0.33205807002561916,0.6679419299743808,0.5737064088056785,0.4087654699805666,0.6524390243902439
merged,8647,3116,5531,2951,5353,13,13,0.3603561928992714,0.6396438071007285,0.9470474967907574,0.9678177544747785,1.0
milestoned,2313,675,1638,674,1585,0,0,0.2918287937743191,0.708171206225681,0.9985185185185185,0.9676434676434676,
moved_columns_in_project,104,11,93,11,47,0,0,0.10576923076923077,0.8942307692307693,1.0,0.5053763440860215,
pinned,19,0,19,0,19,0,0,0.0,1.0,,1.0,
ready_for_review,472,0,472,0,122,0,0,0.0,1.0,,0.2584745762711864,
referenced,46189,6512,39677,4313,9392,574,580,0.14098594903548464,0.8590140509645153,0.6623157248157249,0.2367114449177105,0.9896551724137931
removed_from_project,140,13,127,13,121,0,0,0.09285714285714286,0.9071428571428571,1.0,0.952755905511811,
renamed,4572,776,3796,415,2064,12,35,0.16972878390201224,0.8302712160979877,0.5347938144329897,0.5437302423603794,0.34285714285714286
reopened,778,196,582,123,265,9,10,0.2519280205655527,0.7480719794344473,0.6275510204081632,0.45532646048109965,0.9
review_dismissed,11,2,9,2,8,0,0,0.18181818181818182,0.8181818181818182,1.0,0.8888888888888888,
review_request_removed,132,3,129,3,76,0,0,0.022727272727272728,0.9772727272727273,1.0,0.5891472868217055,
review_requested,4824,63,4761,62,3201,4,6,0.013059701492537313,0.9869402985074627,0.9841269841269841,0.6723377441713926,0.6666666666666666
subscribed,31571,12198,19373,6733,7837,213,324,0.3863672357543315,0.6136327642456685,0.5519757337268405,0.4045320807309142,0.6574074074074074
unassigned,42,12,30,10,26,8,8,0.2857142857142857,0.7142857142857143,0.8333333333333334,0.8666666666666667,1.0
unlabeled,5724,286,5438,286,2878,4,4,0.04996505939902166,0.9500349406009784,1.0,0.5292386906951085,1.0
unlocked,15,1,14,0,0,0,0,0.06666666666666667,0.9333333333333333,0.0,0.0,
unpinned,11,0,11,0,11,0,0,0.0,1.0,,1.0,
unsubscribed,176,12,164,6,76,0,0,0.06818181818181818,0.9318181818181818,0.5,0.4634146341463415,
